SerialNumber,ProductName,Product,RepClass,Product Class,INTERFACE
22686,SP742ME　OKI　EU,SP742ME,SP(x),IMPACT,USB
22687,SP742ME　GRY OKI EU,SP742ME ,SP(x),IMPACT,USB
22688,SP742MD　GRY OKI US,SP742MD ,SP(x),IMPACT,Serial
22689,SP742M　OKI,SP742M,SP(x),IMPACT,No Interface
22692,SP712M　OKI,SP712M,SP(x),IMPACT,No Interface
22693,SP742ME    GRY SKP,SP742ME ,SP(x),IMPACT,Ethernet
22694,SP742ME    GRY SKP,SP742ME ,SP(x),IMPACT,Ethernet
22695,SP742MU　GRY NEC,SP742MU,SP(x),IMPACT,Parallel
22696,SP742MU　GRY NEC CH,SP742MU,SP(x),IMPACT,Parallel
22700,SP717MC,SP717MC,SP(x),IMPACT,Parallel
22701,SP717MC  GRY,SP717MC,SP(x),IMPACT,Parallel
22702,SP717MD,SP717MD,SP(x),IMPACT,Serial
22703,SP717MD  GRY,SP717MD,SP(x),IMPACT,Serial
22704,SP717M,SP717M,SP(x),IMPACT,No Interface
22705,SP717M  GRY,SP717M,SP(x),IMPACT,No Interface
22706,SP717MCR,SP717MC R,SP(x),IMPACT,Parallel
22710,SP747MC,SP747MC,SP(x),IMPACT,Parallel
22711,SP747MC  GRY,SP747MC,SP(x),IMPACT,Parallel
22712,SP747MD,SP747MD,SP(x),IMPACT,Serial
22713,SP747MD  GRY,SP747MD,SP(x),IMPACT,Serial
22714,SP747M,SP747M,SP(x),IMPACT,No Interface
22715,SP747M  GRY,SP747M,SP(x),IMPACT,No Interface
22716,SP747MCR,SP747MC R,SP(x),IMPACT,Parallel
22720,SP717MC  CH,SP717MC ,SP(x),IMPACT,Parallel
22721,SP717MC  GRY CH,SP717MC,SP(x),IMPACT,Parallel
22722,SP717MD  CH,SP717MD ,SP(x),IMPACT,Serial
22723,SP717MD  GRY CH,SP717MD,SP(x),IMPACT,Serial
22724,SP717M  CH,SP717M ,SP(x),IMPACT,No Interface
22725,SP717M  GRY CH,SP717M,SP(x),IMPACT,No Interface
22730,SP747MC  CH,SP747MC ,SP(x),IMPACT,Parallel
22731,SP747MC  GRY CH,SP747MC,SP(x),IMPACT,Parallel
22732,SP747MD  CH,SP747MD ,SP(x),IMPACT,Serial
22733,SP747MD  GRY CH,SP747MD,SP(x),IMPACT,Serial
22734,SP747M  CH,SP747M ,SP(x),IMPACT,No Interface
22735,SP747M  GRY CH,SP747M,SP(x),IMPACT,No Interface
22740,SP717MC  JP,SP717MC ,SP(x),IMPACT,Parallel
22741,SP717MC  GRY JP,SP717MC,SP(x),IMPACT,Parallel
22742,SP717MD  JP,SP717MD ,SP(x),IMPACT,Serial
22743,SP717MD  GRY JP,SP717MD,SP(x),IMPACT,Serial
